id,injector_code,valve_code
1,0445110002,F 00V C01 016
2,0445110008,F 00V C01 003
3,0445110009,F 00V C01 001
4,0445110010,F 00V C01 001
5,0445110011,F 00V C01 001
6,0445110012,F 00V C01 001
7,0445110014,F 00V C01 001
8,0445110015,F 00V C01 001
9,0445110019,F 00V C01 042
10,0445110020,F 00V C01 003
11,0445110021,F 00V C01 005
12,0445110022,F 00V C01 007
13,0445110023,F 00V C01 007
14,0445110024,F 00V C01 001
15,0445110025,F 00V C01 001
16,0445110028,F 00V C01 004
17,0445110029,F 00V C01 004
18,0445110030,F 00V C01 004
19,0445110031,F 00V C01 057
20,0445110034,F 00V C01 001
21,0445110035,F 00V C01 001
22,0445110036,F 00V C01 052
23,0445110038,F 00V C01 011
24,0445110044,F 00V C01 003
25,0445110045,F 00V C01 001
26,0445110046,F 00V C01 001
27,0445110047,F 00V C01 043
28,0445110048,F 00V C01 043
29,0445110049,F 00V C01 043
30,0445110054,F 00V C01 309
31,0445110055,F 00V C01 309
32,0445110057,F 00V C01 013
33,0445110059,F 00V C01 015
34,0445110062,F 00V C01 003
35,0445110063,F 00V C01 011
36,0445110064,F 00V C01 044
37,0445110065,F 00V C01 017
38,0445110066,F 00V C01 017
39,0445110068,F 00V C01 020
40,0445110069,F 00V C01 001
41,0445110070,F 00V C01 001
42,0445110071,F 00V C01 001
43,0445110072,F 00V C01 001
44,0445110073,F 00V C01 001
45,0445110074,F 00V C01 001
46,0445110075,F 00V C01 303
47,0445110076,F 00V C01 053
48,0445110077,F 00V C01 301
49,0445110078,F 00V C01 301
50,0445110080,F 00V C01 304
51,0445110081,F 00V C01 023
52,0445110082,F 00V C01 305
53,0445110083,F 00V C01 038
54,0445110084,F 00V C01 022
55,0445110085,F 00V C01 306
56,0445110089,F 00V C01 024
57,0445110090,F 00V C01 024
58,0445110091,F 00V C01 033
59,0445110092,F 00V C01 033
60,0445110093,F 00V C01 001
61,0445110094,F 00V C01 001
62,0445110095,F 00V C01 045
63,0445110096,F 00V C01 045
64,0445110097,F 00V C01 024
65,0445110098,F 00V C01 024
66,0445110099,F 00V C01 045
67,0445110100,F 00V C01 045
68,0445110101,F 00V C01 044
69,0445110102,F 00V C01 022
70,0445110103,F 00V C01 045
71,0445110104,F 00V C01 045
72,0445110105,F 00V C01 045
73,0445110106,F 00V C01 045
74,0445110107,F 00V C01 045
75,0445110108,F 00V C01 045
76,0445110109,F 00V C01 034
77,0445110110,F 00V C01 034
78,0445110111,F 00V C01 036
79,0445110112,F 00V C01 037
80,0445110113,F 00V C01 035
81,0445110114,F 00V C01 035
82,0445110115,F 00V C01 024
83,0445110116,F 00V C01 024
84,0445110118,F 00V C01 313
85,0445110119,F 00V C01 046
86,0445110120,F 00V C01 045
87,0445110121,F 00V C01 045
88,0445110122,F 00V C01 310
89,0445110125,F 00V C01 023
90,0445110126,F 00V C01 044
91,0445110127,F 00V C01 034
92,0445110128,F 00V C01 309
93,0445110129,F 00V C01 309
94,0445110130,F 00V C01 043
95,0445110131,F 00V C01 310
96,0445110134,F 00V C01 312
97,0445110135,F 00V C01 303
98,0445110136,F 00V C01 315
99,0445110137,F 00V C01 328
100,0445110138,F 00V C01 328
101,0445110139,F 00V C01 328
102,0445110140,F 00V C01 328
103,0445110141,F 00V C01 022
104,0445110142,F 00V C01 306
105,0445110143,F 00V C01 306
106,0445110144,F 00V C01 034
107,0445110145,F 00V C01 034
108,0445110146,F 00V C01 005
109,0445110149,F 00V C01 318
110,0445110151,F 00V C01 045
111,0445110152,F 00V C01 045
112,0445110153,F 00V C01 306
113,0445110154,F 00V C01 306
114,0445110155,F 00V C01 328
115,0445110156,F 00V C01 328
116,0445110157,F 00V C01 311
117,0445110158,F 00V C01 311
118,0445110159,F 00V C01 320
119,0445110160,F 00V C01 034
120,0445110162,F 00V C01 324
121,0445110163,F 00V C01 324
122,0445110165,F 00V C01 321
123,0445110166,F 00V C01 323
124,0445110167,F 00V C01 323
125,0445110168,F 00V C01 329
126,0445110169,F 00V C01 329
127,0445110170,F 00V C01 045
128,0445110171,F 00V C01 045
129,0445110172,F 00V C01 325
130,0445110174,F 00V C01 313
131,0445110175,F 00V C01 313
132,0445110176,F 00V C01 328
133,0445110177,F 00V C01 328
134,0445110178,F 00V C01 034
135,0445110181,F 00V C01 051
136,0445110182,F 00V C01 051
137,0445110183,F 00V C01 334
138,0445110185,F 00V C01 033
139,0445110186,F 00V C01 033
140,0445110187,F 00V C01 037
141,0445110188,F 00V C01 315
142,0445110189,F 00V C01 051
143,0445110190,F 00V C01 051
144,0445110191,F 00V C01 328
145,0445110192,F 00V C01 328
146,0445110193,F 00V C01 324
147,0445110194,F 00V C01 324
148,0445110195,F 00V C01 054
149,0445110196,F 00V C01 054
150,0445110197,F 00V C01 054
151,0445110198,F 00V C01 054
152,0445110199,F 00V C01 051
153,0445110200,F 00V C01 051
154,0445110201,F 00V C01 051
155,0445110202,F 00V C01 051
156,0445110203,F 00V C01 054
157,0445110204,F 00V C01 054
158,0445110205,F 00V C01 051
159,0445110206,F 00V C01 051
160,0445110207,F 00V C01 051
161,0445110208,F 00V C01 051
162,0445110209,F 00V C01 331
163,0445110212,F 00V C01 331
164,0445110213,F 00V C01 336
165,0445110214,F 00V C01 306
166,0445110215,F 00V C01 306
167,0445110216,F 00V C01 331
168,0445110217,F 00V C01 332
169,0445110218,F 00V C01 333
170,0445110219,F 00V C01 331
171,0445110221,F 00V C01 050
172,0445110222,F 00V C01 055
173,0445110223,F 00V C01 055
174,0445110224,F 00V C01 051
175,0445110225,F 00V C01 051
176,0445110227,F 00V C01 340
177,0445110229,F 00V C01 312
178,0445110230,F 00V C01 317
179,0445110231,F 00V C01 023
180,0445110232,F 00V C01 335
181,0445110233,F 00V C01 335
182,0445110236,F 00V C01 325
183,0445110237,F 00V C01 341
184,0445110238,F 00V C01 341
185,0445110239,F 00V C01 315
186,0445110243,F 00V C01 336
187,0445110244,F 00V C01 344
188,0445110248,F 00V C01 338
189,0445110249,F 00V C01 349
190,0445110250,F 00V C01 349
191,0445110251,F 00V C01 345
192,0445110252,F 00V C01 342
193,0445110253,F 00V C01 346
194,0445110254,F 00V C01 346
195,0445110255,F 00V C01 347
196,0445110256,F 00V C01 347
197,0445110257,F 00V C01 346
198,0445110258,F 00V C01 346
199,0445110259,F 00V C01 315
200,0445110260,F 00V C01 334
201,0445110261,F 00V C01 348
202,0445110262,F 00V C01 340
203,0445110263,F 00V C01 328
204,0445110264,F 00V C01 328
205,0445110265,F 00V C01 353
206,0445110266,F 00V C01 043
207,0445110269,F 00V C01 346
208,0445110270,F 00V C01 346
209,0445110273,F 00V C01 338
210,0445110274,F 00V C01 352
211,0445110275,F 00V C01 352
212,0445110276,F 00V C01 344
213,0445110277,F 00V C01 352
214,0445110278,F 00V C01 352
215,0445110279,F 00V C01 033
216,0445110280,F 00V C01 355
217,0445110281,F 00V C01 354
218,0445110283,F 00V C01 033
219,0445110284,F 00V C01 329
220,0445110286,F 00V C01 333
221,0445110287,F 00V C01 336
222,0445110288,F 00V C01 361
223,0445110289,F 00V C01 357
224,0445110290,F 00V C01 044
225,0445110291,F 00V C01 358
226,0445110293,F 00V C01 359
227,0445110294,F 00V C01 324
228,0445110295,F 00V C01 324
229,0445110296,F 00V C01 325
230,0445110297,F 00V C01 354
231,0445110298,F 00V C01 366
232,0445110299,F 00V C01 360
233,0445110300,F 00V C01 360
234,0445110301,F 00V C01 331
235,0445110302,F 00V C01 362
236,0445110303,F 00V C01 362
237,0445110304,F 00V C01 363
238,0445110305,F 00V C01 359
239,0445110306,F 00V C01 033
240,0445110307,F 00V C01 356
241,0445110308,F 00V C01 360
242,0445110309,F 00V C01 334
243,0445110310,F 00V C01 334
244,0445110311,F 00V C01 364
245,0445110312,F 00V C01 365
246,0445110313,F 00V C01 359
247,0445110315,F 00V C01 329
248,0445110316,F 00V C01 334
249,0445110317,F 00V C01 363
250,0445110318,F 00V C01 367
251,0445110321,F 00V C01 368
252,0445110322,F 00V C01 334
253,0445110327,F 00V C01 360
254,0445110328,F 00V C01 355
255,0445110331,F 00V C01 334
256,0445110333,F 00V C01 371
257,0445110335,F 00V C01 359
258,0445110336,F 00V C01 023
259,0445110338,F 00V C01 376
260,0445110342,F 00V C01 374
261,0445110343,F 00V C01 359
262,0445110345,F 00V C01 359
263,0445110348,F 00V C01 363
264,0445110354,F 00V C01 379
265,0445110355,F 00V C01 359
266,0445110356,F 00V C01 365
267,0445110362,F 00V C01 377
268,0445110363,F 00V C01 377
269,0445110364,F 00V C01 359
270,0445110365,F 00V C01 359
271,0445110370,F 00V C01 363
272,0445110374,F 00V C01 381
273,0445110375,F 00V C01 380
274,0445110376,F 00V C01 383
275,0445110377,F 00V C01 378
276,0445110378,F 00V C01 378
277,0445110387,F 00V C01 386
278,0445110388,F 00V C01 386
279,0445110401,F 00V C01 357
280,0445110420,F 00V C01 363
281,0445110424,F 00V C01 379
282,0445110435,F 00V C01 338
283,0445110439,F 00Z C01 307
284,0445110442,F 00V C01 377
285,0445110443,F 00V C01 377
286,0445110450,F 00V C01 369
287,0445110454,F 00V C01 359
288,0445110455,F 00Z C01 310
289,0445110462,F 00V C01 359
290,0445110481,F 00V C01 359
291,0445110497,F 00Z C01 305
292,0445110512,F 00V C01 359
293,0445120002,F 00R J00 005
294,0445120003,F 00R J00 218
295,0445120004,F 00R J00 218
296,0445120006,F 00R J00 375
297,0445120007,F 00R J00 339
298,0445120008,F 00R J02 005
299,0445120009,F 00R J00 399
300,0445120010,F 00R J00 399
301,0445120011,F 00R J00 420
302,0445120012,F 00R J00 447
303,0445120012,F 00R J01 895
304,0445120013,F 00R J00 447
305,0445120013,F 00R J01 895
306,0445120014,F 00R J00 399
307,0445120015,F 00R J00 399
308,0445120016,F 00R J00 447
309,0445120016,F 00R J01 895
310,0445120017,F 00R J00 447
311,0445120017,F 00R J01 895
312,0445120018,F 00R J00 339
313,0445120019,F 00R J00 399
314,0445120020,F 00R J00 399
315,0445120024,F 00R J01 159
316,0445120025,F 00R J00 834
317,0445120027,F 00R J01 159
318,0445120028,F 00R J01 052
319,0445120029,F 00R J01 129
320,0445120030,F 00R J01 218
321,0445120031,F 00R J00 995
322,0445120032,F 00R J00 339
323,0445120033,F 00R J01 222
324,0445120034,F 00R J01 222
325,0445120036,F 00R J01 176
326,0445120037,F 00R J01 941
327,0445120038,F 00R J01 129
328,0445120040,F 00R J02 213
329,0445120041,F 00R J02 213
330,0445120042,F 00R J01 329
331,0445120043,F 00R J00 447
332,0445120043,F 00R J01 895
333,0445120043,F 00R J02 067
334,0445120044,F 00R J01 159
335,0445120045,F 00R J01 159
336,0445120046,F 00R J01 945
337,0445120047,F 00R J01 334
338,0445120048,F 00R J01 428
339,0445120049,F 00R J01 428
340,0445120050,F 00R J01 714
341,0445120050,F 00R J02 004 
342,0445120051,F 00R J01 222
343,0445120052,F 00R J01 222
344,0445120053,F 00R J01 159
345,0445120054,F 00R J01 278
346,0445120055,F 00R J01 159
347,0445120056,F 00R J01 159
348,0445120057,F 00R J01 278
349,0445120058,F 00R J02 278
350,0445120059,F 00R J02 130
351,0445120060,F 00R J02 130
352,0445120061,F 00R J01 218
353,0445120062,F 00R J01 522
354,0445120063,F 00R J01 533
355,0445120064,F 00R J01 451
356,0445120065,F 00R J01 451
357,0445120066,F 00R J01 479
358,0445120067,F 00R J01 479
359,0445120068,F 00R J01 159
360,0445120069,F 00R J01 052
361,0445120070,F 00R J01 941
362,0445120071,F 00R J01 714
363,0445120071,F 00R J02 004
364,0445120072,F 00R J02 386
365,0445120073,F 00R J02 246
366,0445120074,F 00R J01 451
367,0445120075,F 00R J01 278
368,0445120076,F 00R J02 386
369,0445120077,F 00R J00 447
370,0445120077,F 00R J01 895
371,0445120077,F 00R J02 067
372,0445120078,F 00R J01 657
373,0445120079,F 00R J00 339
374,0445120080,F 00R J01 683
375,0445120081,F 00R J01 692
376,0445120082,F 00R J01 747
377,0445120083,F 00R J01 704
378,0445120084,F 00R J00 399
379,0445120085,F 00R J00 399
380,0445120086,F 00R J01 727
381,0445120087,F 00R J01 727
382,0445120089,F 00R J00 447
383,0445120089,F 00R J01 895
384,0445120089,F 00R J02 067
385,0445120090,F 00R J01 428
386,0445120091,F 00R J01 334
387,0445120092,F 00R J01 819
388,0445120093,F 00R J01 334
389,0445120094,F 00R J01 129
390,0445120095,F 00R J02 397
391,0445120096,F 00R J01 222
392,0445120097,F 00R J01 941
393,0445120098,F 00R J01 865
394,0445120099,F 00R J01 865
395,0445120100,F 00R J01 218
396,0445120101,F 00R J02 235
397,0445120102,F 00R J01 924
398,0445120103,F 00R J00 339
399,0445120105,F 00R J01 159
400,0445120108,F 00R J01 222
401,0445120109,F 00R J02 278
402,0445120110,F 00R J02 806
403,0445120112,F 00R J01 941
404,0445120113,F 00R J01 945
405,0445120114,F 00R J01 945
406,0445120115,F 00R J01 941
407,0445120116,F 00R J02 012
408,0445120118,F 00R J02 044
409,0445120120,F 00R J01 941
410,0445120121,F 00R J01 941
411,0445120122,F 00R J01 941
412,0445120123,F 00R J02 130
413,0445120124,F 00R J01 657
414,0445120125,F 00R J01 941
415,0445120126,F 00R J02 266
416,0445120127,F 00R J01 727
417,0445120128,F 00R J02 073
418,0445120129,F 00R J01 692
419,0445120131,F 00R J02 073
420,0445120133,F 00R J01 941
421,0445120135,F 00R J02 012
422,0445120136,F 00R J01 451
423,0445120137,F 00R J01 451
424,0445120138,F 00R J01 451
425,0445120139,F 00R J01 451
426,0445120140,F 00R J01 941
427,0445120141,F 00R J01 704
428,0445120142,F 00R J02 056
429,0445120143,F 00R J02 044
430,0445120144,F 00R J01 941
431,0445120146,F 00R J02 035
432,0445120147,F 00R J01 865
433,0445120148,F 00R J01 865
434,0445120149,F 00R J01 692
435,0445120150,F 00R J01 692
436,0445120151,F 00R J02 130
437,0445120152,F 00R J02 130
438,0445120153,F 00R J01 692
439,0445120154,F 00R J01 159
440,0445120155,F 00R J02 044
441,0445120161,F 00R J01 714
442,0445120161,F 00R J02 004
443,0445120162,F 00R J02 449
444,0445120163,F 00R J01 692
445,0445120164,F 00R J02 806
446,0445120168,F 00R J02 012
447,0445120169,F 00R J01 692
448,0445120170,F 00R J01 692
449,0445120173,F 00R J01 222
450,0445120174,F 00R J01 222
451,0445120175,F 00R J01 222
452,0445120176,F 00R J01 222
453,0445120177,F 00R J01 714
454,0445120177,F 00R J02 004
455,0445120179,F 00R J02 410
456,0445120180,F 00R J02 410
457,0445120182,F 00R J02 472
458,0445120183,F 00R J02 472
459,0445120184,F 00R J01 714
460,0445120184,F 00R J02 004
461,0445120185,F 00R J01 714
462,0445120185,F 00R J02 004
463,0445120186,F 00R J02 449
464,0445120187,F 00R J01 714
465,0445120187,F 00R J02 004
466,0445120188,F 00R J01 714
467,0445120188,F 00R J02 004
468,0445120193,F 00R J01 714
469,0445120193,F 00R J02 004
470,0445120196,F 00R J02 073
471,0445120197,F 00R J02 410
472,0445120200,F 00R J02 410
473,0445120201,F 00R J02 410
474,0445120202,F 00R J02 410
475,0445120203,F 00R J02 561
476,0445120204,F 00R J01 714
477,0445120204,F 00R J02 004
478,0445120208,F 00R J02 130
479,0445120209,F 00R J02 130
480,0445120210,F 00R J02 130
481,0445120211,F 00R J02 130
482,0445120212,F 00R J02 130
483,0445120215,F 00R J02 035
484,0445120217,F 00R J02 466
485,0445120218,F 00R J02 466
486,0445120219,F 00R J02 466
487,0445120226,F 00R J01 692
488,0445120229,F 00R J02 410
489,0445120231,F 00R J02 130
490,0445120233,F 00R J02 429
491,0445120236,F 00R J01 941
492,0445120237,F 00R J01 941
493,0445120238,F 00R J02 130
494,0445120239,F 00R J02 130
495,0445120240,F 00R J01 941
496,0445120241,F 00R J01 941
497,0445120250,F 00R J02 130
498,0445120252,F 00R J02 130
499,0445120254,F 00R J02 130
500,0445120255,F 00R J02 130
501,0445120256,F 00R J02 130
502,0445120258,F 00R J02 429
503,0445120273,F 00R J02 130
504,0445120289,F 00R J02 472
505,0445120290,F 00R J02 806
506,0445120291,F 00R J02 806
507,0445120292,F 00R J02 806
508,0445120295,F 00R J02 377
509,0445120297,F 00R J02 103
510,0445120304,F 00R J01 704
511,0445120310,F 00R J02 056
512,0445120311,F 00R J02 410
513,0445120313,F 00R J02 410
514,0445120314,F 00R J02 235
515,0445120315,F 00R J02 449
516,0445120316,F 00R J02 449
